seed,phenomenon,reward,weight_decay,N,selected_proxy_reward_mean,selected_true_utility_mean,selected_spurious_utility_mean,oracle_best_true_utility_mean,proxy_minus_true_gap
170000,verbosity,helpfulness,0.0,1,3.5639486965424068,-0.08671324166536097,2.528750256426307,-0.08671324166536097,3.6506619382077683
170000,verbosity,helpfulness,0.0,4,6.9888147743617335,0.6274982393939785,3.298401281163113,0.9477306901845637,6.361316534967755
170000,verbosity,helpfulness,0.0,16,8.568608856699743,1.1572941254512195,4.168656180308059,1.726138083171988,7.411314731248523
170000,verbosity,helpfulness,0.0,64,8.887609743443088,1.5467561770316305,5.699743299074003,2.3652977292132062,7.3408535664114565
170000,verbosity,helpfulness,0.001,1,3.5587199225007202,-0.08671324166536097,2.528750256426307,-0.08671324166536097,3.6454331641660813
170000,verbosity,helpfulness,0.001,4,6.975962092106941,0.6279047977842453,3.2958785944891344,0.9477306901845637,6.348057294322695
170000,verbosity,helpfulness,0.001,16,8.547552513243804,1.1574987854757968,4.180810026168656,1.726138083171988,7.3900537277680085
170000,verbosity,helpfulness,0.001,64,8.864137499593769,1.5379844022000526,5.709930165244425,2.3652977292132062,7.326153097393717
170000,verbosity,helpfulness,0.01,1,3.525265551038725,-0.08671324166536097,2.528750256426307,-0.08671324166536097,3.6119787927040865
170000,verbosity,helpfulness,0.01,4,6.883897474863431,0.6221991820784093,3.386159614393031,0.9477306901845637,6.261698292785022
170000,verbosity,helpfulness,0.01,16,8.369409084778683,1.1214460134121753,4.444159285308101,1.726138083171988,7.247963071366508
170000,verbosity,helpfulness,0.01,64,8.657036473622577,1.5154433251642825,6.065582105996905,2.3652977292132062,7.141593148458295
170000,verbosity,helpfulness,0.1,1,3.2946704624096355,-0.08671324166536097,2.528750256426307,-0.08671324166536097,3.381383704074996
170000,verbosity,helpfulness,0.1,4,6.233556696779943,0.45540274179565043,4.3760892011569,0.9477306901845637,5.778153954984293
170000,verbosity,helpfulness,0.1,16,7.105006914048562,0.5796535990201144,7.323302123101482,1.726138083171988,6.525353315028447
170000,verbosity,helpfulness,0.1,64,7.204677318053541,0.6239748184357428,10.830011714358607,2.3652977292132062,6.580702499617797
170000,verbosity,helpfulness,0.5,1,2.110318216532321,-0.08671324166536097,2.528750256426307,-0.08671324166536097,2.1970314581976815
170000,verbosity,helpfulness,0.5,4,3.7259214343653344,0.4089218313311021,4.602933535576272,0.9477306901845637,3.316999603034232
170000,verbosity,helpfulness,0.5,16,4.174867646053525,0.42496474120217775,7.808384103379426,1.726138083171988,3.7499029048513477
170000,verbosity,helpfulness,0.5,64,4.224870424097889,0.4714991123767536,11.21454046469184,2.3652977292132062,3.7533713117211356
170000,verbosity,helpfulness,1.0,1,1.555597730593867,-0.08671324166536097,2.528750256426307,-0.08671324166536097,1.6423109722592284
170000,verbosity,helpfulness,1.0,4,2.4987714583563965,0.2748515137226855,4.838056162803463,0.9477306901845637,2.2239199446337112
170000,verbosity,helpfulness,1.0,16,2.7047491005481628,0.2970961457841047,8.042474819728456,1.726138083171988,2.4076529547640577
170000,verbosity,helpfulness,1.0,64,2.7241298491080683,0.3410891032250699,11.499186045310418,2.3652977292132062,2.3830407458829983
170000,formatting,readability,0.0,1,1.9172653197410015,-0.0051146209931662015,2.164913609370599,-0.0051146209931662015,1.922379940734168
170000,formatting,readability,0.0,4,5.796133272863001,0.7673117492986461,3.0239149583735827,1.0258500466284424,5.028821523564354
170000,formatting,readability,0.0,16,6.982977358084877,1.2417652385048736,4.248330713815713,1.7662557636294232,5.741212119580002
170000,formatting,readability,0.0,64,7.097731525110274,1.563087978907161,6.375892322282898,2.331087687041164,5.534643546203114
170000,formatting,readability,0.001,1,1.9111361175351829,-0.0051146209931662015,2.164913609370599,-0.0051146209931662015,1.916250738528349
170000,formatting,readability,0.001,4,5.779321922953738,0.7673117492986461,3.0239149583735827,1.0258500466284424,5.012010173655092
170000,formatting,readability,0.001,16,6.965688489154588,1.2417652385048736,4.248330713815713,1.7662557636294232,5.723923250649715
170000,formatting,readability,0.001,64,7.081237039010889,1.563087978907161,6.375892322282898,2.331087687041164,5.5181490601037275
170000,formatting,readability,0.01,1,1.861603860106052,-0.0051146209931662015,2.164913609370599,-0.0051146209931662015,1.8667184810992183
170000,formatting,readability,0.01,4,5.633911921860113,0.7664603571810724,3.0269106042120684,1.0258500466284424,4.867451564679039
170000,formatting,readability,0.01,16,6.813084607725882,1.2452378121952077,4.242165155524596,1.7662557636294232,5.567846795530674
170000,formatting,readability,0.01,64,6.93516074891259,1.5563292987556343,6.404966685938794,2.331087687041164,5.378831450156956
170000,formatting,readability,0.1,1,1.5447491390586539,-0.0051146209931662015,2.164913609370599,-0.0051146209931662015,1.54986376005182
170000,formatting,readability,0.1,4,4.5502733060996965,0.7772109098490882,3.027916160901847,1.0258500466284424,3.7730623962506082
170000,formatting,readability,0.1,16,5.605633593926743,1.2400150573774462,4.267032425739635,1.7662557636294232,4.365618536549297
170000,formatting,readability,0.1,64,5.771178688152262,1.5200923250600247,6.527600130820836,2.331087687041164,4.251086363092237
170000,formatting,readability,0.5,1,1.3425822187623024,-0.0051146209931662015,2.164913609370599,-0.0051146209931662015,1.3476968397554685
170000,formatting,readability,0.5,4,2.929934758573066,0.6008627709965285,3.6931628070946956,1.0258500466284424,2.3290719875765373
170000,formatting,readability,0.5,16,3.40501246114451,0.881133182322613,5.853454142603587,1.7662557636294232,2.523879278821896
170000,formatting,readability,0.5,64,3.4799327141257863,0.98296693633307,8.676773121953756,2.331087687041164,2.4969657777927163
170000,formatting,readability,1.0,1,1.1398898954038374,-0.0051146209931662015,2.164913609370599,-0.0051146209931662015,1.145004516397004
170000,formatting,readability,1.0,4,2.1091603868617286,0.47552406411842585,4.013357114258919,1.0258500466284424,1.633636322743303
170000,formatting,readability,1.0,16,2.3226914333168325,0.6118380049555314,6.545984165880084,1.7662557636294232,1.710853428361301
170000,formatting,readability,1.0,64,2.347144203276755,0.7167760188626126,9.444048816101635,2.331087687041164,1.6303681844141424
170000,confidence,decisiveness,0.0,1,4.805270430225529,0.10193890828651053,2.96403634331468,0.10193890828651053,4.703331521939018
170000,confidence,decisiveness,0.0,4,7.466190648191969,0.37833209608894963,5.810195592963184,1.145273264461028,7.08785855210302
170000,confidence,decisiveness,0.0,16,7.692601875329947,0.43310810494243496,9.410609779489562,1.8263563057980583,7.259493770387511
170000,confidence,decisiveness,0.0,64,7.697509632420167,0.35095032741716986,13.565701617156186,2.3832544504332884,7.346559305002997
170000,confidence,decisiveness,0.001,1,4.795261934875437,0.10193890828651053,2.96403634331468,0.10193890828651053,4.693323026588925
170000,confidence,decisiveness,0.001,4,7.44750078516764,0.37833209608894963,5.810195592963184,1.145273264461028,7.069168689078691
170000,confidence,decisiveness,0.001,16,7.673044975073497,0.426473289103235,9.424927402049216,1.8263563057980583,7.246571685970261
170000,confidence,decisiveness,0.001,64,7.677949212370106,0.35095032741716986,13.565701617156186,2.3832544504332884,7.326998884952936
170000,confidence,decisiveness,0.01,1,4.701245987091414,0.10193890828651053,2.96403634331468,0.10193890828651053,4.599307078804904
170000,confidence,decisiveness,0.01,4,7.282085009708044,0.37796560810605173,5.811570760560004,1.145273264461028,6.904119401601991
170000,confidence,decisiveness,0.01,16,7.502685225485977,0.4335655900031905,9.427564105640137,1.8263563057980583,7.069119635482787
170000,confidence,decisiveness,0.01,64,7.507601326809668,0.3292205791713144,13.606120797268673,2.3832544504332884,7.178380747638354
170000,confidence,decisiveness,0.1,1,3.9297795853825517,0.10193890828651053,2.96403634331468,0.10193890828651053,3.8278406770960407
170000,confidence,decisiveness,0.1,4,5.995712049994886,0.35773413948293353,5.853488322644473,1.145273264461028,5.637977910511953
170000,confidence,decisiveness,0.1,16,6.182581364261648,0.3840325370684053,9.502503582024962,1.8263563057980583,5.798548827193242
170000,confidence,decisiveness,0.1,64,6.187754757657756,0.31248911267126833,13.648742914738115,2.3832544504332884,5.875265644986489
170000,confidence,decisiveness,0.5,1,2.412087874522551,0.10193890828651053,2.96403634331468,0.10193890828651053,2.3101489662360404
170000,confidence,decisiveness,0.5,4,3.5519339193193584,0.27873027369417963,6.000150931039311,1.145273264461028,3.2732036456251787
170000,confidence,decisiveness,0.5,16,3.638393576633909,0.2553722675773264,9.770930565917745,1.8263563057980583,3.3830213090565824
170000,confidence,decisiveness,0.5,64,3.6406115190195982,0.14479205734731024,13.956638320639058,2.3832544504332884,3.495819461672288
170000,confidence,decisiveness,1.0,1,1.690573103066,0.10193890828651053,2.96403634331468,0.10193890828651053,1.5886341947794898
170000,confidence,decisiveness,1.0,4,2.3878403349344746,0.26835454738557873,6.018728721595562,1.145273264461028,2.119485787548896
170000,confidence,decisiveness,1.0,16,2.428105294517108,0.1708257923688046,9.861677642413332,1.8263563057980583,2.2572795021483034
170000,confidence,decisiveness,1.0,64,2.429146558089675,0.12782623408007,14.001975327653518,2.3832544504332884,2.301320324009605
170000,fabricated_reasoning,reasoning_quality,0.0,1,4.217720653430922,0.12580987178811756,2.7304633136185985,0.12580987178811756,4.091910781642804
170000,fabricated_reasoning,reasoning_quality,0.0,4,7.445653914087786,0.753751136294868,3.672961978063689,1.0763324922834698,6.691902777792918
170000,fabricated_reasoning,reasoning_quality,0.0,16,8.785585095535179,1.2443012597959018,4.180675454768889,1.7595053335025506,7.541283835739278
170000,fabricated_reasoning,reasoning_quality,0.0,64,9.031697342555276,1.6460728296465967,5.484012576252533,2.3977085193403336,7.38562451290868
170000,fabricated_reasoning,reasoning_quality,0.001,1,4.201617585249323,0.12580987178811756,2.7304633136185985,0.12580987178811756,4.075807713461206
170000,fabricated_reasoning,reasoning_quality,0.001,4,7.42260581964675,0.753751136294868,3.672961978063689,1.0763324922834698,6.668854683351883
170000,fabricated_reasoning,reasoning_quality,0.001,16,8.761323371242236,1.2433423053151405,4.1622879284629395,1.7595053335025506,7.517981065927095
170000,fabricated_reasoning,reasoning_quality,0.001,64,9.008977196435389,1.6420469734351428,5.477246070250525,2.3977085193403336,7.366930223000248
170000,fabricated_reasoning,reasoning_quality,0.01,1,4.06828333422323,0.12580987178811756,2.7304633136185985,0.12580987178811756,3.942473462435112
170000,fabricated_reasoning,reasoning_quality,0.01,4,7.226239947531814,0.7498591972292873,3.673750051989681,1.0763324922834698,6.476380750302528
170000,fabricated_reasoning,reasoning_quality,0.01,16,8.552353087629932,1.2278507199430804,4.208383106630367,1.7595053335025506,7.3245023676868515
170000,fabricated_reasoning,reasoning_quality,0.01,64,8.81116021083525,1.6425983535730702,5.497039424523823,2.3977085193403336,7.168561857262181
170000,fabricated_reasoning,reasoning_quality,0.1,1,3.3450903611742153,0.12580987178811756,2.7304633136185985,0.12580987178811756,3.219280489386098
170000,fabricated_reasoning,reasoning_quality,0.1,4,5.960823288008346,0.737189331748747,3.887212872372636,1.0763324922834698,5.223633956259601
170000,fabricated_reasoning,reasoning_quality,0.1,16,7.0270566634887235,1.1971397281417835,4.635434316604589,1.7595053335025506,5.82991693534694
170000,fabricated_reasoning,reasoning_quality,0.1,64,7.2658182554153266,1.585233719955923,6.166180337453673,2.3977085193403336,5.6805845354594044
170000,fabricated_reasoning,reasoning_quality,0.5,1,2.197876473941796,0.12580987178811756,2.7304633136185985,0.12580987178811756,2.0720666021536784
170000,fabricated_reasoning,reasoning_quality,0.5,4,3.7951760526102145,0.4694989447937978,5.237755596073264,1.0763324922834698,3.325677107816416
170000,fabricated_reasoning,reasoning_quality,0.5,16,4.113532996248774,0.4927620821866011,8.71156036802337,1.7595053335025506,3.620770914062173
170000,fabricated_reasoning,reasoning_quality,0.5,64,4.139164947114043,0.5254211935181458,12.463213766915151,2.3977085193403336,3.6137437535958976
170000,fabricated_reasoning,reasoning_quality,1.0,1,1.6031810866024765,0.12580987178811756,2.7304633136185985,0.12580987178811756,1.4773712148143587
170000,fabricated_reasoning,reasoning_quality,1.0,4,2.5318488021978562,0.39679133436173314,5.374134296144617,1.0763324922834698,2.1350574678361225
170000,fabricated_reasoning,reasoning_quality,1.0,16,2.6771680509089992,0.4037653077783233,8.919322925644718,1.7595053335025506,2.273402743130676
170000,fabricated_reasoning,reasoning_quality,1.0,64,2.6866314442307693,0.3763878747669698,12.739105063632655,2.3977085193403336,2.310243569463799
170001,verbosity,helpfulness,0.0,1,3.7883996814632157,-0.022139247959873494,2.5921922485096136,-0.022139247959873494,3.8105389294230894
170001,verbosity,helpfulness,0.0,4,7.052829478817089,0.4005958255600743,4.713877881059048,1.0025498305025762,6.6522336532570145
170001,verbosity,helpfulness,0.0,16,7.549691770263182,0.5671982710832975,7.478320391123415,1.8161665610345568,6.982493499179885
170001,verbosity,helpfulness,0.0,64,7.5569111254648105,0.6185900753695923,10.533587054823565,2.372125313127165,6.938321050095217
170001,verbosity,helpfulness,0.001,1,3.776764870913827,-0.022139247959873494,2.5921922485096136,-0.022139247959873494,3.7989041188737
170001,verbosity,helpfulness,0.001,4,7.032957381899836,0.4005958255600743,4.713877881059048,1.0025498305025762,6.63236155633976
170001,verbosity,helpfulness,0.001,16,7.529889219146976,0.5671982710832975,7.478320391123415,1.8161665610345568,6.962690948063678
170001,verbosity,helpfulness,0.001,64,7.5372078841018295,0.6185900753695923,10.533587054823565,2.372125313127165,6.918617808732238
170001,verbosity,helpfulness,0.01,1,3.678854747729232,-0.022139247959873494,2.5921922485096136,-0.022139247959873494,3.7009939956891054
170001,verbosity,helpfulness,0.01,4,6.860779553318296,0.4005958255600743,4.713877881059048,1.0025498305025762,6.4601837277582215
170001,verbosity,helpfulness,0.01,16,7.356844391298846,0.5683829752743124,7.4822847360274,1.8161665610345568,6.788461416024534
170001,verbosity,helpfulness,0.01,64,7.364956827814237,0.6230185322675856,10.524152249624722,2.372125313127165,6.741938295546651
170001,verbosity,helpfulness,0.1,1,3.0472439976888963,-0.022139247959873494,2.5921922485096136,-0.022139247959873494,3.06938324564877
170001,verbosity,helpfulness,0.1,4,5.603652658219984,0.38559249417019487,4.752551711502995,1.0025498305025762,5.218060164049789
170001,verbosity,helpfulness,0.1,16,6.025537723104564,0.5175098998802324,7.623408034895062,1.8161665610345568,5.508027823224332
170001,verbosity,helpfulness,0.1,64,6.035699116485734,0.5978662177079687,10.663126362509443,2.372125313127165,5.437832898777767
170001,verbosity,helpfulness,0.5,1,1.9820826769129,-0.022139247959873494,2.5921922485096136,-0.022139247959873494,2.0042219248727737
170001,verbosity,helpfulness,0.5,4,3.350293930123054,0.2947999752736365,4.92540831172621,1.0025498305025762,3.055493954849417
170001,verbosity,helpfulness,0.5,16,3.541905574713128,0.3759934959522688,7.938708484343242,1.8161665610345568,3.165912078760859
170001,verbosity,helpfulness,0.5,64,3.54877959560133,0.44242306196248693,11.083996997394893,2.372125313127165,3.1063565336388432
170001,verbosity,helpfulness,1.0,1,1.4628531714235122,-0.022139247959873494,2.5921922485096136,-0.022139247959873494,1.4849924193833857
170001,verbosity,helpfulness,1.0,4,2.2810719886476787,0.2543143939946562,4.999522244440377,1.0025498305025762,2.0267575946530227
170001,verbosity,helpfulness,1.0,16,2.374070188577131,0.32339355538614256,8.038186743374213,1.8161665610345568,2.0506766331909883
170001,verbosity,helpfulness,1.0,64,2.377132802417754,0.34084079657515043,11.255742107465226,2.372125313127165,2.0362920058426037
170001,formatting,readability,0.0,1,1.295041901754454,-0.009527550303957582,2.3125153748258187,-0.009527550303957582,1.304569452058412
170001,formatting,readability,0.0,4,6.007922984189793,0.847779780674111,2.637492210431448,1.0179054906273597,5.160143203515682
170001,formatting,readability,0.0,16,7.990945968275805,1.46580236969142,3.261981484046982,1.8325192220136597,6.5251435985843855
170001,formatting,readability,0.0,64,8.259128405731758,1.8719260319155786,4.259550860456606,2.3469962808343237,6.387202373816178
170001,formatting,readability,0.001,1,1.294827343335445,-0.009527550303957582,2.3125153748258187,-0.009527550303957582,1.304354893639403
170001,formatting,readability,0.001,4,5.991708161965242,0.8450180550988822,2.6376173304659773,1.0179054906273597,5.146690106866361
170001,formatting,readability,0.001,16,7.968305165124275,1.46580236969142,3.261981484046982,1.8325192220136597,6.502502795432854
170001,formatting,readability,0.001,64,8.236804092522288,1.8735514929089596,4.264405610237882,2.3469962808343237,6.36325259961333
170001,formatting,readability,0.01,1,1.2922059370964945,-0.009527550303957582,2.3125153748258187,-0.009527550303957582,1.3017334874004518
170001,formatting,readability,0.01,4,5.850159776447599,0.8467742603155457,2.6079591883296973,1.0179054906273597,5.003385516132053
